# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	14618
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=2 d=0.952922 t=14618
wo zui jin zai 	我最近在	c=1 d=0.878095 t=14618
wo zuo le 	我做了	c=1 d=0.722527 t=14618
wu 	五	c=3 d=2.77077 t=14618
wu 	勿	c=1 d=0.882497 t=14618
wu 	吴	c=2 d=1.34403 t=14618
wu 	唔	c=1 d=0.937067 t=14618
wu 	无	c=10 d=5.35858 t=14618
wu chu 	悟出	c=1 d=0.941765 t=14618
wu chu 	无处	c=1 d=0.946485 t=14618
wu chu 	误触	c=0 d=0.0995012 t=14618
wu chu le 	误触了	c=1 d=1 t=14618
wu da 	五大	c=2 d=1.10341 t=14618
wu da te zheng 	五大特征	c=3 d=1.59852 t=14618
wu di 	无敌	c=1 d=0.802519 t=14618
wu fa 	无法	c=9 d=4.47505 t=14618
wu guan 	无关	c=2 d=1.4739 t=14618
wu han da xue 	武汉大学	c=2 d=1.45802 t=14618
wu kong 	悟空	c=1 d=0.522046 t=14618
wu le 	悟了	c=1 d=0.826959 t=14618
wu li 	物理	c=28 d=8.63299 t=14618
wu li chang shu 	物理常数	c=1 d=0.955997 t=14618
wu li xue yuan 	物理学院	c=1 d=0.955997 t=14618
wu lian jie 	无连接	c=1 d=0.856415 t=14618
wu lian wang 	物联网	c=2 d=1.38419 t=14618
wu lun 	无论	c=1 d=0.985112 t=14618
wu nai 	无奈	c=2 d=0.546429 t=14618
wu pin 	物品	c=1 d=0.995012 t=14618
wu qiong 	无穷	c=2 d=1.71732 t=14618
wu shi 	巫师	c=2 d=1.99501 t=14618
wu shi 	无事	c=1 d=0.985112 t=14618
wu shu ci 	无数次	c=1 d=0.591555 t=14618
wu tai 	舞台	c=1 d=0.501576 t=14618
wu tai ju 	舞台剧	c=1 d=0.477114 t=14618
wu xi 	无锡	c=48 d=11.2458 t=14618
wu xi shi 	无锡市	c=3 d=2.35838 t=14618
wu xi zhan 	无锡占	c=1 d=0.722527 t=14618
wu xian 	无限	c=5 d=3.83966 t=14618
wu xian chang 	无限长	c=1 d=0.810584 t=14618
wu xian nuan nuan 	无限暖暖	c=11 d=8.27939 t=14618
wu xu 	无需	c=1 d=0.97531 t=14618
wu yuan 	物院	c=1 d=0.995012 t=14618
wu zhang 	无章	c=1 d=0.522046 t=14618
wu zhe 	五折	c=1 d=0.951229 t=14618
wu zhi 	物质	c=3 d=1.33271 t=14618
xi 	习	c=3 d=2.78715 t=14618
xi 	系	c=1 d=0.951229 t=14618
xi an 	西安	c=4 d=2.78209 t=14618
xi fang 	西方	c=2 d=1.47028 t=14618
xi fang hua 	西方化	c=1 d=0.891366 t=14618
xi guan 	习惯	c=1 d=0.909373 t=14618
xi guan le 	习惯了	c=1 d=0.970446 t=14618
xi huan 	喜欢	c=4 d=1.83205 t=14618
xi huan le 	喜欢了	c=1 d=0.970446 t=14618
xi hun 	吸魂	c=1 d=1 t=14618
xi jia yi 	喜加一	c=1 d=1 t=14618
xi jiang 	细讲	c=0 d=0.0995012 t=14618
xi jie 	细节	c=1 d=0.995012 t=14618
xi jin ping 	习近平	c=3 d=0.873716 t=14618
xi la 	希腊	c=1 d=0.932394 t=14618
xi la zi mu 	希腊字母	c=2 d=1.85508 t=14618
xi shou 	吸收	c=2 d=1.22674 t=14618
xi shu 	系数	c=4 d=1.89425 t=14618
xi shuo 	细说	c=1 d=0.960789 t=14618
xi tong 	系统	c=24 d=8.33349 t=14618
xi wang 	希望	c=4 d=1.77152 t=14618
xi xi 	嘻嘻	c=3 d=1.28721 t=14618
xi xu 	唏嘘	c=1 d=0.640824 t=14618
xi yi fu 	洗衣服	c=1 d=0.951229 t=14618
xi yin 	吸引	c=2 d=1.77526 t=14618
xi you 	稀有	c=0 d=0.0529935 t=14618
xi you 	西游	c=5 d=3.83374 t=14618
xi you ji 	西游记	c=1 d=0.535261 t=14618
xi you ti 	稀有题	c=1 d=0.532592 t=14618
xi zhu xi 	习主席	c=1 d=0.83527 t=14618
xia 	下	c=17 d=5.6527 t=14618
xia de 	下的	c=7 d=4.29297 t=14618
xia ding 	下定	c=1 d=0.324652 t=14618
xia ge 	下个	c=1 d=0.637628 t=14618
xia hao 	下好	c=1 d=0.985112 t=14618
xia hua xian 	下划线	c=3 d=2.48502 t=14618
xia jian tou 	下箭头	c=1 d=0.937067 t=14618
xia jiang 	下降	c=2 d=1.59309 t=14618
xia lai 	下来	c=2 d=1.56009 t=14618
xia le 	下了	c=1 d=0.733447 t=14618
xia ling ying 	夏令营	c=1 d=0.913931 t=14618
xia mian 	下面	c=1 d=0.965605 t=14618
xia wu 	下午	c=2 d=1.45725 t=14618
xia xue qi 	下学期	c=3 d=1.33009 t=14618
xia yi bu 	下一步	c=3 d=2.19017 t=14618
xia yi ge 	下一个	c=2 d=1.40042 t=14618
xia yi jie 	下一届	c=1 d=0.70822 t=14618
xia zai 	下载	c=21 d=10.0353 t=14618
xia zai qi 	下载器	c=2 d=1.9605 t=14618
xia zhi 	下值	c=1 d=0.843665 t=14618
xia zhou 	下周	c=1 d=0.591555 t=14618
xia zhou er 	下周二	c=1 d=0.67368 t=14618
xia zhou yi 	下周一	c=1 d=0.932394 t=14618
xian 	先	c=7 d=3.71503 t=14618
xian 	弦	c=2 d=1.24402 t=14618
xian 	线	c=2 d=1.48724 t=14618
xian 	鲜	c=1 d=0.786628 t=14618
xian ba 	先把	c=1 d=0.618783 t=14618
xian bu chu 	显不出	c=1 d=0.980199 t=14618
xian dai 	现代	c=6 d=1.34182 t=14618
xian dai 	线代	c=1 d=0.960789 t=14618
xian dai hua 	现代化	c=30 d=10.2765 t=14618
xian dai ren 	现代人	c=2 d=0.883536 t=14618
xian dai she hui 	现代社会	c=1 d=0.496585 t=14618
xian feng 	先锋	c=1 d=1 t=14618
xian hou 	先后	c=1 d=0.755784 t=14618
xian ka 	显卡	c=7 d=4.90024 t=14618
xian kuan 	线宽	c=2 d=1.57357 t=14618
xian qi 	掀起	c=1 d=0.683861 t=14618
xian shi 	显示	c=20 d=9.29116 t=14618
xian shi 	现实	c=6 d=3.1594 t=14618
xian shi ping 	显示屏	c=2 d=1.60644 t=14618
xian shi qi 	显示器	c=7 d=5.24616 t=14618
xian shi zhuang kuang 	现实状况	c=1 d=0.831104 t=14618
xian xiang 	现象	c=1 d=0.315058 t=14618
xian xiao 	显小	c=0 d=0.0980199 t=14618
xian xing 	线型	c=6 d=4.25809 t=14618
xian yu 	咸鱼	c=4 d=3.74998 t=14618
xian zai 	现在	c=20 d=4.11908 t=14618
xian zhi 	限制	c=3 d=1.04223 t=14618
xian zhu 	显著	c=2 d=0.913931 t=14618
xiang 	像	c=4 d=1.47185 t=14618
xiang 	向	c=6 d=2.09868 t=14618
xiang 	想	c=14 d=3.57176 t=14618
xiang 	相	c=4 d=1.86679 t=14618
xiang 	象	c=1 d=1 t=14618
xiang ba 	想把	c=1 d=0.891366 t=14618
xiang chi sha 	想吃啥	c=1 d=0.932394 t=14618
xiang cun 	乡村	c=1 d=0.99005 t=14618
xiang deng 	相等	c=1 d=0.918512 t=14618
xiang dui 	相对	c=1 d=0.599153 t=14618
xiang dui guang qiang 	相对光强	c=1 d=0.913931 t=14618
xiang fan 	相反	c=3 d=1.58978 t=14618
xiang guan 	相关	c=4 d=1.95271 t=14618
xiang guo 	想过	c=1 d=0.965605 t=14618
xiang ji 	相机	c=1 d=0.970446 t=14618
xiang kan 	想看	c=1 d=0.860708 t=14618
xiang liang 	向量	c=1 d=0.99005 t=14618
xiang liang hua 	向量化	c=1 d=0.386741 t=14618
xiang mai 	想买	c=1 d=0.995012 t=14618
xiang mu 	项目	c=9 d=5.57968 t=14618
xiang qi 	想起	c=1 d=0.99005 t=14618
xiang qi lai 	想起来	c=1 d=0.847894 t=14618
xiang qu 	想去	c=1 d=0.946485 t=14618
xiang shang 	向上	c=1 d=0.995012 t=14618
xiang shi 	像是	c=2 d=0.651476 t=14618
xiang si 	相似	c=2 d=0.798516 t=14618
xiang su du 	相速度	c=3 d=2.69268 t=14618
xiang tong 	相同	c=4 d=2.15452 t=14618
xiang tong ba 	相同吧	c=1 d=0.543351 t=14618
xiang wang 	向往	c=2 d=1 t=14618
xiang wei 	相位	c=3 d=2.89087 t=14618
xiang wei cha 	相位差	c=1 d=0.995012 t=14618
xiang wei chang shu 	相位常数	c=1 d=1 t=14618
xiang wen wen 	想问问	c=1 d=0.873716 t=14618
xiang xi 	详细	c=2 d=0.992556 t=14618
xiang xia 	向下	c=1 d=0.946485 t=14618
xiang xiang 	想想	c=2 d=1.40406 t=14618
xiang xiang 	想象	c=1 d=0.83527 t=14618
xiang xiang de 	想象的	c=1 d=0.532592 t=14618
xiang xin 	相信	c=1 d=0.856415 t=14618
xiang yao 	想要	c=2 d=1.21435 t=14618
xiang yao de 	想要的	c=1 d=0.66365 t=14618
xiang yong 	想用	c=1 d=0.891366 t=14618
xiang zhao 	想找	c=1 d=0.960789 t=14618
xiang zi 	箱子	c=1 d=0.985112 t=14618
xiao 	孝	c=1 d=0.666977 t=14618
xiao 	小	c=5 d=2.24899 t=14618
xiao 	晓	c=1 d=0.755784 t=14618
xiao 	笑	c=2 d=1.57121 t=14618
xiao 	肖	c=4 d=3.24661 t=14618
xiao bai 	小白	c=1 d=0.852144 t=14618
xiao dong men 	小东门	c=1 d=0.798516 t=14618
xiao fei 	消费	c=1 d=0.806541 t=14618
xiao guo 	效果	c=9 d=3.78352 t=14618
xiao guo shi 	效果是	c=1 d=0.860708 t=14618
xiao hua 	消化	c=3 d=1.40122 t=14618
xiao ji qiao 	小技巧	c=1 d=0.694197 t=14618
xiao jie 	消解	c=2 d=1.18431 t=14618
xiao li 	校历	c=1 d=1 t=14618
xiao mao 	小猫	c=6 d=4.57838 t=14618
xiao qi ye 	小企业	c=1 d=0.650509 t=14618
xiao qian 	消遣	c=1 d=0.814647 t=14618
xiao qiao si 	小巧思	c=1 d=0.637628 t=14618
xiao qiu 	小球	c=13 d=3.64486 t=14618
xiao qu 	校区	c=0 d=0.0794534 t=14618
xiao shi 	小时	c=1 d=0.810584 t=14618
xiao shui guan 	小水管	c=1 d=0.99005 t=14618
xiao xi 	消息	c=1 d=0.995012 t=14618
xiao xiao 	小小	c=1 d=0.794534 t=14618
xiao xin hao 	小信号	c=3 d=2.37978 t=14618
xiao ying 	效应	c=1 d=0.818731 t=14618
xiao yuan qiang 	校园墙	c=1 d=0.822835 t=14618
xiao yuan sheng huo 	校园生活	c=1 d=0.232236 t=14618
xiao yuan wang 	校园网	c=6 d=5.14408 t=14618
xiao zhao 	校招	c=1 d=0.737123 t=14618
xie 	些	c=5 d=2.89286 t=14618
xie 	写	c=28 d=6.89073 t=14618
xie cheng 	写成	c=1 d=0.882497 t=14618
xie chu 	写出	c=1 d=0.373439 t=14618
xie de 	写的	c=2 d=1.66304 t=14618
xie dian 	写点	c=3 d=2.07419 t=14618
xie fa 	写法	c=6 d=4.41607 t=14618
xie ge 	写个	c=3 d=2.58306 t=14618
xie gei wo 	写给我	c=1 d=0.878095 t=14618
xie le 	谢了	c=2 d=1.58122 t=14618
xie lun wen 	写论文	c=1 d=0.690734 t=14618
xie lv 	斜率	c=1 d=0.666977 t=14618
xie ru 	写入	c=6 d=3.72844 t=14618
xie xie 	写写	c=1 d=0.913931 t=14618
xie xie 	谢谢	c=2 d=1.80572 t=14618
xie xie ha 	谢谢哈	c=1 d=0.951229 t=14618
xie yi fen 	写一份	c=5 d=2.87677 t=14618
xie yi xia 	写一下	c=1 d=0.400517 t=14618
xie zai 	卸载	c=1 d=0.882497 t=14618
xie zai le 	卸载了	c=1 d=0.932394 t=14618
xie zhen 	谐振	c=1 d=0.839457 t=14618
xie zi ban 	写字板	c=1 d=0.927743 t=14618
xie zuo 	写作	c=3 d=1.91393 t=14618
xin 	新	c=5 d=3.02994 t=14618
xin 	昕	c=6 d=4.22871 t=14618
xin chi shen wang 	心驰神往	c=1 d=0.451581 t=14618
xin de 	心得	c=1 d=0.782705 t=14618
xin de 	新的	c=3 d=1.6043 t=14618
xin hao 	信号	c=3 d=1.82823 t=14618
xin ji shu 	新技术	c=1 d=0.440432 t=14618
xin ji yu 	新机遇	c=1 d=0.810584 t=14618
xin lai 	信赖	c=0 d=0.0814647 t=14618
xin li 	心里	c=1 d=0.856415 t=14618
xin man yi zu 	心满意足	c=1 d=0.955997 t=14618
xin mei jie 	新媒介	c=1 d=0.442639 t=14618
xin qing 	心情	c=2 d=1.53219 t=14618
xin shi dai 	新时代	c=8 d=2.22602 t=14618
xin shi jian 	新事件	c=1 d=0.88692 t=14618
xin shou 	新手	c=1 d=0.965605 t=14618
xin teng 	心疼	c=1 d=0.923116 t=14618
xin ti xing 	新题型	c=2 d=1.66373 t=14618
xin tong 	心痛	c=1 d=0.865022 t=14618
xin tuo 	信托	c=0 d=0.0869358 t=14618
xin xi 	信息	c=8 d=2.60686 t=14618
xin xi guang xue 	信息光学	c=2 d=1.04697 t=14618
xin xiao 	新校	c=2 d=1.18906 t=14618
xin xing tai 	新形态	c=1 d=0.790571 t=14618
xin yi 	心意	c=1 d=0.860708 t=14618
xin zeng 	新增	c=1 d=0.88692 t=14618
xin zhi sheng chan li 	新质生产力	c=1 d=0.955997 t=14618
xin zhong 	心中	c=2 d=0.582748 t=14618
xin zhong de 	心中的	c=1 d=0.382893 t=14618
xin zhong guo 	新中国	c=1 d=0.494109 t=14618
xing 	兴	c=1 d=0.904837 t=14618
xing 	型	c=0 d=0.0640824 t=14618
xing 	性	c=5 d=1.94234 t=14618
xing 	行	c=2 d=1.3606 t=14618
xing 	醒	c=1 d=0.932394 t=14618
xing bian liang 	形变量	c=1 d=0.343009 t=14618
xing bo 	星渤	c=1 d=0.529935 t=14618
xing cheng 	形成	c=6 d=3.19931 t=14618
xing cun zhe 	幸存者	c=1 d=0.814647 t=14618
xing dong 	行动	c=1 d=0.628135 t=14618
xing ma 	行吗	c=1 d=0.97531 t=14618
xing neng 	性能	c=2 d=1.77064 t=14618
xing qiu 	星球	c=1 d=0.99005 t=14618
xing qu 	兴趣	c=0 d=0.0254107 t=14618
xing qu po shen 	兴趣颇深	c=1 d=0.255381 t=14618
xing rong ci 	形容词	c=1 d=0.83527 t=14618
xing rong ren 	形容人	c=1 d=0.331211 t=14618
xing shi 	形式	c=12 d=4.80997 t=14618
xing tai 	形态	c=1 d=0.923116 t=14618
xing zhi 	性质	c=3 d=2.19124 t=14618
xiong di 	兄弟	c=2 d=1.56737 t=14618
xiong hou 	雄厚	c=1 d=0.687289 t=14618
xiu fu 	修复	c=1 d=0.99005 t=14618
xiu gai 	修改	c=8 d=4.07411 t=14618
xiu gai hou 	修改后	c=1 d=0.960789 t=14618
xiu jue 	嗅觉	c=1 d=0.740818 t=14618
xiu li 	秀丽	c=1 d=0.715338 t=14618
xiu mian 	休眠	c=4 d=3.59744 t=14618
xiu mian mo shi 	休眠模式	c=1 d=0.951229 t=14618
xiu qi yu gong 	休戚与共	c=1 d=0.680451 t=14618
xiu wei 	修为	c=2 d=1.97045 t=14618
xiu xian 	休闲	c=1 d=0.923116 t=14618
xiu xuan 	修选	c=1 d=0.585669 t=14618
xu 	需	c=0 d=0.0506617 t=14618
xu duo 	许多	c=3 d=1.21878 t=14618
xu duo ci 	许多次	c=1 d=0.694197 t=14618
xu hang 	续航	c=0 d=0.0937067 t=14618
xu hang jiu 	续航久	c=1 d=0.941765 t=14618
xu jia 	虚假	c=1 d=0.341298 t=14618
xu kuang 	虚框	c=1 d=0.839457 t=14618
xu ni ji 	虚拟机	c=1 d=0.927743 t=14618
xu qiu 	需求	c=2 d=0.910594 t=14618
xu shi fu 	徐师傅	c=1 d=1 t=14618
xu xie 	续写	c=1 d=0.540641 t=14618
xu xu duo duo 	许许多多	c=1 d=0.465334 t=14618
xu yao 	需要	c=19 d=5.57089 t=14618
xu yao gui hua 	需要规划	c=1 d=0.465334 t=14618
xu yao zai 	需要在	c=1 d=0.57695 t=14618
xuan 	选	c=6 d=3.77673 t=14618
xuan chuan 	宣传	c=1 d=0.540641 t=14618
xuan da 	选大	c=1 d=0.900325 t=14618
xuan ding 	选定	c=1 d=0.423162 t=14618
xuan kong 	悬空	c=1 d=0.927743 t=14618
xuan ran 	渲染	c=1 d=0.839457 t=14618
xuan xiang 	选项	c=2 d=1.88924 t=14618
xuan xiao 	喧嚣	c=1 d=0.99005 t=14618
xuan xiu 	选修	c=6 d=4.33488 t=14618
xuan xiu ke 	选修课	c=7 d=4.65386 t=14618
xuan ze 	选择	c=17 d=7.77258 t=14618
xuan ze ti 	选择题	c=2 d=1.74752 t=14618
xuan zhong 	选中	c=1 d=0.891366 t=14618
xuan zhuan 	旋转	c=0 d=0.0657047 t=14618
xue 	学	c=6 d=2.1613 t=14618
xue dai hui 	学代会	c=1 d=0.790571 t=14618
xue gao shu 	学高数	c=1 d=0.918512 t=14618
xue hao 	学号	c=1 d=0.995012 t=14618
xue jie 	学姐	c=11 d=3.79483 t=14618
xue jie 	学界	c=1 d=0.463013 t=14618
xue ke 	学科	c=1 d=0.247833 t=14618
xue le 	学了	c=0 d=0.0818731 t=14618
xue qi 	学期	c=2 d=1.83173 t=14618
xue sheng 	学生	c=5 d=2.69784 t=14618
xue sheng hui 	学生会	c=2 d=1.79629 t=14618
xue shu 	学术	c=2 d=0.859126 t=14618
xue xi 	学习	c=8 d=3.32031 t=14618
xue xi tiao 	学习调	c=1 d=0.965605 t=14618
xue xi tong 	学习通	c=2 d=1.9802 t=14618
xue xi zhi 	学习之	c=1 d=0.932394 t=14618
xue xiao 	学校	c=8 d=3.70029 t=14618
xue ye 	学业	c=4 d=1.19426 t=14618
xue ye 	血液	c=1 d=0.285076 t=14618
xue yuan 	学院	c=1 d=0.782705 t=14618
xue zhang 	学长	c=7 d=3.63315 t=14618
xue zi 	学子	c=1 d=0.995012 t=14618
xun 	训	c=1 d=0.856415 t=14618
xun chang 	寻常	c=1 d=0.932394 t=14618
xun su 	迅速	c=1 d=0.752014 t=14618
xun yi cao 	薰衣草	c=1 d=1 t=14618
ya li 	压力	c=1 d=0.923116 t=14618
ya suo 	压缩	c=3 d=2.09144 t=14618
yan 	盐	c=0 d=0.088692 t=14618
yan 	颜	c=1 d=1.00044 t=14618
yan bian 	演变	c=1 d=0.759572 t=14618
yan chang 	延长	c=1 d=0.951229 t=14618
yan chang 	演唱	c=1 d=0.932394 t=14618
yan chang dao 	延长到	c=1 d=0.965605 t=14618
yan chu 	演出	c=4 d=2.39524 t=14618
yan hua 	烟花	c=1 d=0.985112 t=14618
yan jing 	眼睛	c=1 d=0.99005 t=14618
yan jiu 	研究	c=2 d=1.01428 t=14618
yan jiu fang xiang 	研究方向	c=1 d=0.900325 t=14618
yan jiu suo 	研究所	c=2 d=1.32984 t=14618
yan jiu yuan 	研究院	c=2 d=1.8466 t=14618
yan jiu zhong 	研究中	c=2 d=1.49774 t=14618
yan juan 	厌倦	c=0 d=0.0847894 t=14618
yan se 	颜色	c=4 d=3.36329 t=14618
yan wen zi 	盐文字	c=1 d=0.891366 t=14618
yan wen zi 	颜文字	c=2 d=1.77008 t=14618
yan yang tian 	艳阳天	c=1 d=0.650509 t=14618
yan yu 	谚语	c=1 d=0.895834 t=14618
yan zheng 	验证	c=7 d=3.76683 t=14618
yan zheng ma 	验证码	c=2 d=1.93654 t=14618
yan zhi 	言之	c=0 d=0.0729789 t=14618
yan zhi zai li 	言之在理	c=1 d=0.733447 t=14618
yan zhong de 	严重的	c=1 d=0.918512 t=14618
yang 	扬	c=1 d=0.918512 t=14618
yang 	样	c=2 d=1.46379 t=14618
yang 	羊	c=1 d=0.980199 t=14618
yang cheng 	养成	c=1 d=0.941765 t=14618
yang jie 	洋节	c=1 d=0.923116 t=14618
yang le 	扬了	c=1 d=0.99005 t=14618
yang shi 	样式	c=1 d=0.941765 t=14618
yang zi 	样子	c=3 d=1.37701 t=14618
yao 	要	c=18 d=5.09175 t=14618
yao bu yao 	要不要	c=2 d=0.86079 t=14618
yao bu yao qu 	要不要去	c=1 d=0.852144 t=14618
yao gen 	要跟	c=1 d=0.970446 t=14618
yao jia 	要加	c=1 d=0.786628 t=14618
yao kai hui 	要开会	c=1 d=0.740818 t=14618
yao lan 	摇篮	c=1 d=0.377192 t=14618
yao qian 	要钱	c=1 d=0.995012 t=14618
yao qing 	邀请	c=2 d=1.20699 t=14618
yao qing le 	邀请了	c=1 d=0.594521 t=14618
yao qiu 	要求	c=3 d=1.5959 t=14618
yao qiu de 	要求的	c=2 d=1.49302 t=14618
yao qiu shi 	要求是	c=1 d=0.806541 t=14618
yao shi 	要是	c=1 d=0.748264 t=14618
yao wo 	要我	c=1 d=0.786628 t=14618
yao yu 	要与	c=1 d=0.373439 t=14618
ye 	业	c=1 d=0.650509 t=14618
ye 	也	c=29 d=4.34 t=14618
ye 	耶	c=1 d=0.826959 t=14618
ye bi 	也比	c=1 d=0.878095 t=14618
ye bu shi 	也不是	c=1 d=0.951229 t=14618
ye dang shi 	也当时	c=1 d=0.628135 t=14618
ye dei 	也得	c=2 d=0.875602 t=14618
ye gai 	也该	c=1 d=0.923116 t=14618
ye hao 	也好	c=2 d=1.77386 t=14618
ye hui 	也会	c=3 d=1.19964 t=14618
ye hui you 	也会有	c=1 d=0.722527 t=14618
ye jiu 	也就	c=1 d=0.960789 t=14618
ye jiu shi 	也就是	c=4 d=2.42684 t=14618
ye ke yi 	也可以	c=0 d=0.0318224 t=14618
ye mei 	也没	c=2 d=1.16584 t=14618
ye mei you 	也没有	c=2 d=1.61017 t=14618
ye mian 	页面	c=11 d=6.05419 t=14618
ye shi 	也是	c=9 d=3.31161 t=14618
ye suan shi 	也算是	c=1 d=0.932394 t=14618
ye tai 	也太	c=1 d=0.860708 t=14618
ye xu 	也许	c=1 d=0.960789 t=14618
ye xu shi 	也许是	c=2 d=1.65039 t=14618
ye xu yao 	也需要	c=1 d=0.647265 t=14618
ye yao 	也要	c=1 d=0.628135 t=14618
ye yao qu 	也要去	c=1 d=0.718924 t=14618
ye you 	也有	c=6 d=2.8167 t=14618
ye zai 	也在	c=1 d=0.527292 t=14618
yi 	一	c=11 d=3.97088 t=14618
yi 	以	c=6 d=2.07066 t=14618
yi 	已	c=5 d=2.60848 t=14618
yi 	易	c=1 d=0.937067 t=14618
yi ba 	一把	c=1 d=1.06461 t=14618
yi ban 	一半	c=1 d=0.932394 t=14618
yi ban 	一般	c=4 d=3.30827 t=14618
yi ban qing kuang 	一般情况	c=1 d=0.802519 t=14618
yi bi 	一笔	c=1 d=0.715338 t=14618
yi bian 	一边	c=2 d=1.71996 t=14618
yi bian 	一遍	c=2 d=0.951229 t=14618
yi bing 	一并	c=1 d=0.909373 t=14618
yi bu 	一部	c=1 d=0.826959 t=14618
yi bu bu 	一步步	c=1 d=0.83527 t=14618
yi bu fen 	一部分	c=1 d=0.995012 t=14618
yi chan 	遗产	c=2 d=1.60506 t=14618
yi chang 	异常	c=1 d=0.995012 t=14618
yi cheng 	已成	c=1 d=0.207008 t=14618
yi chu le 	移除了	c=1 d=0.960789 t=14618
yi ci 	以此	c=2 d=1.15996 t=14618
yi cu er jiu 	一蹴而就	c=1 d=0.822835 t=14618
yi dao 	一道	c=1 d=0.554327 t=14618
yi dian 	一点	c=7 d=2.31834 t=14618
yi ding 	一定	c=3 d=1.50147 t=14618
yi ding dei 	一定得	c=0 d=0.088692 t=14618
yi ding dei shi 	一定得是	c=1 d=0.891366 t=14618
yi ding shi 	一定是	c=1 d=0.470011 t=14618
yi ding yao yong 	一定要用	c=0 d=0.0955997 t=14618
yi dong 	易懂	c=1 d=0.733447 t=14618
yi dong 	移动	c=4 d=2.37523 t=14618
yi dong dao 	移动到	c=2 d=1.4762 t=14618
yi dui 	一堆	c=3 d=1.75091 t=14618
yi fen 	一份	c=9 d=3.46129 t=14618
yi fen zi 	一分子	c=1 d=0.557106 t=14618
yi ge 	一个	c=27 d=6.20342 t=14618
yi ge 	一格	c=1 d=0.351692 t=14618
yi ge ren 	一个人	c=1 d=0.759572 t=14618
yi ge yue 	一个月	c=1 d=0.726149 t=14618
yi gong 	一共	c=1 d=0.927743 t=14618
yi gu nao 	一股脑	c=1 d=0.694197 t=14618
yi hang 	一行	c=1 d=0.932394 t=14618
yi hou 	以后	c=2 d=1.09603 t=14618
yi huan 	一环	c=2 d=1.24559 t=14618
yi hui 	一会	c=2 d=1.61304 t=14618
yi ji 	一级	c=1 d=0.650509 t=14618
yi ji 	一计	c=1 d=0.923116 t=14618
yi ji 	以及	c=13 d=4.6078 t=14618
yi jian 	一件	c=0 d=0.0955997 t=14618
yi jian 	一键	c=1 d=0.941765 t=14618
yi jian 	意见	c=3 d=2.62727 t=14618
yi jian shi 	一件事	c=0 d=0.0937067 t=14618
yi jie 	一阶	c=1 d=0.752014 t=14618
yi jing 	已经	c=12 d=4.0577 t=14618
yi ju hua 	一句话	c=1 d=0.697676 t=14618
yi kou qi 	一口气	c=1 d=0.932394 t=14618
yi kuan 	一款	c=1 d=0.918512 t=14618
yi lai 	依赖	c=1 d=0.918512 t=14618
yi liao zhi zhong 	意料之中	c=1 d=0.491644 t=14618
yi ming 	一名	c=5 d=3.46507 t=14618
yi ming 	一鸣	c=1 d=0.778801 t=14618
yi mu liao ran 	一目了然	c=1 d=0.847894 t=14618
yi nian 	一年	c=1 d=0.891366 t=14618
yi qi 	一起	c=2 d=0.909373 t=14618
yi qi chi ge fan 	一起吃个饭	c=1 d=0.606531 t=14618
yi qi feng fa 	意气风发	c=2 d=0.40186 t=14618
yi qie 	一切	c=2 d=1.28175 t=14618
yi quan 	一圈	c=3 d=1.47068 t=14618
yi shan lan lv 	衣衫褴褛	c=1 d=0.657047 t=14618
yi shang 	以上	c=1 d=0.839457 t=14618
yi shi 	一是	c=1 d=1 t=14618
yi shu jia 	艺术家	c=1 d=0.67032 t=14618
yi shua 	一刷	c=1 d=0.878095 t=14618
yi si 	意思	c=13 d=7.89278 t=14618
yi tang 	一堂	c=1 d=0.323033 t=14618
yi tao 	一套	c=2 d=1.80304 t=14618
yi tiao 	一条	c=4 d=2.53037 t=14618
yi tong 	一同	c=1 d=0.666977 t=14618
yi tou 	一头	c=1 d=0.878095 t=14618
yi tuo 	一坨	c=1 d=0.970446 t=14618
yi tuo 	依托	c=2 d=1.69198 t=14618
yi wai 	以外	c=2 d=1.78353 t=14618
yi wai 	意外	c=3 d=2.247 t=14618
yi wai de 	意外的	c=1 d=0.755784 t=14618
yi wei 	一味	c=1 d=0.882497 t=14618
yi wei 	一维	c=1 d=0.941765 t=14618
yi wei 	意味	c=0 d=0.0960789 t=14618
yi xi lie 	一系列	c=1 d=0.687289 t=14618
yi xia 	一下	c=18 d=6.44079 t=14618
yi xia 	以下	c=5 d=3.1332 t=14618
yi xia wu 	一下午	c=1 d=0.737123 t=14618
yi xiang 	一项	c=1 d=0.843665 t=14618
yi xiang dao 	一想到	c=1 d=0.647265 t=14618
yi xiang qing yuan 	一厢情愿	c=1 d=0.574072 t=14618
yi xie 	一些	c=4 d=2.51887 t=14618
yi xue qi 	一学期	c=2 d=0.724814 t=14618
yi yan 	一言	c=1 d=0.995012 t=14618
yi yang 	一样	c=10 d=4.60067 t=14618
yi ye 	一页	c=1 d=0.932394 t=14618
yi ye qing 	一夜情	c=1 d=0.955997 t=14618
yi yi 	意义	c=3 d=1.96737 t=14618
yi yuan 	亿元	c=3 d=2.16546 t=14618
yi yue yi du 	一月一度	c=1 d=0.704688 t=14618
yi zhang 	一张	c=1 d=0.481909 t=14618
yi zhi 	一直	c=5 d=2.13319 t=14618
yi zhi 	一致	c=7 d=2.98631 t=14618
